SNO,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Recharge Time,Total Number of Vehicles,Number of Depot Nodes,Number of vehicles failed,Maximum Trip Time,Number of Function Calls,Execution time for auction algorithm in sec,Maximum Trip Time after auction algorithm,% increase in maximum trip time,idle time,Average time per function call
1,bccm.1,24,34,17,24,48,7,7,3,72,3,0.177,149,106.9,0,0.059
2,bccm.2,24,34,17,24,48,7,7,2,76,2,0.156,80,5.3,0,0.078
3,bccm.3,24,34,17,24,48,7,7,4,27,4,0.336,161,496.3,0,0.084
4,bccm.4,24,35,18,8,16,6,6,2,28,2,0.063,72,157.1,0,0.032
5,bccm.5,24,35,18,8,16,6,6,4,28,4,3.885,97,246.4,0,0.971
6,bccm.6,24,35,18,8,16,6,6,1,28,1,0.009,49,75,0,0.009
7,bccm.7,24,35,18,8,16,6,6,1,28,1,0.111,43,53.6,14,0.111
8,bccm.8,24,35,18,8,16,6,6,1,25,1,0.038,29,16,0,0.038
9,bccm.9,24,39,20,20,40,4,4,2,124,2,0.482,185,49.2,0,0.241
10,bccm.10,24,39,20,20,40,4,4,3,120,3,1.406,474,295,0,0.469
11,bccm.11,24,39,20,20,40,4,4,2,125,2,1.149,239,91.2,0,0.575
12,bccm.12,24,39,20,20,40,4,4,1,77,1,0.342,130,68.8,0,0.342
13,bccm.13,24,39,20,20,40,4,4,1,115,1,0.021,128,11.3,0,0.021
14,bccm.14,24,39,20,20,40,4,4,1,119,1,0.672,176,47.9,0,0.672
15,bccm.15,24,39,20,20,40,4,4,3,121,3,1.531,419,246.3,0,0.51
16,bccm.16,31,50,25,20,40,4,4,1,129,1,0.296,182,41.1,0,0.296
17,bccm.17,31,50,25,20,40,4,4,3,123,3,2.193,409,232.5,0,0.731
18,bccm.18,31,50,25,20,40,4,4,1,125,1,6.181,182,45.6,0,6.181
19,bccm.19,31,50,25,20,40,4,4,3,132,3,2.506,566,328.8,0,0.835
20,bccm.20,31,50,25,20,40,4,4,3,133,3,1.549,691,419.5,0,0.516
21,bccm.21,31,50,25,20,40,4,4,1,135,1,0.176,190,40.7,0,0.176
22,bccm.22,31,50,25,20,40,4,4,3,131,3,3.778,539,311.5,0,1.259
23,bccm.23,31,50,25,20,40,4,4,3,132,3,0.332,524,297,0,0.111
24,bccm.24,30,63,32,20,40,8,8,2,128,2,3.836,180,40.6,0,1.918
25,bccm.25,30,63,32,20,40,8,8,5,128,5,8.973,300,134.4,0,1.795
26,bccm.26,30,63,32,20,40,8,8,6,132,6,30.331,464,251.5,0,5.055
27,bccm.27,30,63,32,20,40,8,8,1,128,1,3.369,134,4.7,0,3.369
28,bccm.28,30,63,32,20,40,8,8,3,132,3,5.181,242,83.3,0,1.727
29,bccm.29,30,63,32,20,40,8,8,4,124,4,37.573,339,173.4,0,9.393
30,bccm.30,30,63,32,20,40,8,8,3,78,3,12.817,191,144.9,0,4.272
31,bccm.31,30,63,32,20,40,8,8,6,79,5,9.617,406,413.9,0,1.923
32,bccm.32,30,63,32,20,40,8,8,6,117,6,14.641,469,300.9,0,2.44
33,bccm.33,30,63,32,20,40,8,8,5,117,5,22.978,356,204.3,0,4.596
