Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
bccm.1,24,34,17,24,7,7,0.536,72,72,0,72,11.6393,0.623951448,10.679
bccm.10,24,39,20,20,4,4,1.016,128,127.05,2.060946385,120,20.82845,0.924300247,18.582
bccm.100,50,97,49,20,7,7,12.134,181,181,0,181,82.7733,4.244153497,72.919
bccm.101,50,97,49,20,7,7,12.05,181,181,0,181,83.17295,3.679896921,75.327
bccm.102,50,97,49,20,7,7,12.113,181,181,0,181,83.4379,4.89386993,74.069
bccm.103,50,97,49,20,7,7,12.152,181,181,0,181,82.25485,5.20801594,71.897
bccm.104,50,97,49,20,7,7,11.815,184,184,0,184,77.7608,6.234953012,67.719
bccm.105,50,97,49,20,7,7,12.622,184,184,0,184,85.5879,6.126854943,72.68
bccm.106,50,97,49,20,7,7,10.7,184,184,0,184,77.4664,5.308133386,69.011
bccm.107,50,97,49,20,7,7,10.722,184,184,0,184,74.864,4.160838041,65.909
bccm.108,50,97,49,20,7,7,10.698,184,184,0,184,74.11185,3.461403115,64.817
bccm.11,24,39,20,20,4,4,0.89,128,127.4,0.860232527,125,18.37365,0.691502804,17.279
bccm.12,24,39,20,20,4,4,1.003,129,118.4,13.78549963,77,16.28,0.783015709,14.846
bccm.13,24,39,20,20,4,4,0.883,124,123.4,1.959591794,115,17.48575,0.828473166,15.944
bccm.14,24,39,20,20,4,4,0.887,124,123.65,1.10792599,119,17.67835,0.862758325,15.931
bccm.15,24,39,20,20,4,4,0.888,124,123.8,0.678232998,121,17.5271,0.595169463,16.075
bccm.16,31,50,25,20,4,4,1.597,136,134.4,2.332380758,129,22.75465,0.610305929,21.04
bccm.17,31,50,25,20,4,4,1.59,136,131.7,4.001249805,123,22.0365,0.863467573,20.428
bccm.18,31,50,25,20,4,4,1.591,136,133.1,3.845776905,125,22.9058,0.975003005,21.099
bccm.19,31,50,25,20,4,4,1.746,136,135.4,1.280624847,132,24.1348,1.127544704,21.975
bccm.2,24,34,17,24,7,7,0.453,89,82.3,2.917190429,76,11.80545,0.684114353,10.483
bccm.20,31,50,25,20,4,4,1.85,138,137.35,1.52561463,133,26.2348,1.105511583,24.146
bccm.21,31,50,25,20,4,4,1.839,138,137.65,0.852936105,135,25.87245,1.275669921,23.81
bccm.22,31,50,25,20,4,4,1.839,138,137.15,1.981792118,131,26.30765,0.920595855,24.592
bccm.23,31,50,25,20,4,4,1.837,138,137.5,1.532970972,132,26.15225,1.289507149,24.339
bccm.24,30,63,32,20,8,8,2.202,132,131.7,0.953939201,128,29.145,1.719859529,25.547
bccm.25,30,63,32,20,8,8,2.201,132,131.75,0.887411967,128,28.95525,1.316465908,26.464
bccm.26,30,63,32,20,8,8,2.196,132,132,0,132,29.19665,1.545502225,25.841
bccm.27,30,63,32,20,8,8,2.206,132,131.4,1.428285686,128,29.35215,1.408572301,26.989
bccm.28,30,63,32,20,8,8,2.199,132,132,0,132,28.6748,1.365351112,26.449
bccm.29,30,63,32,20,8,8,2.086,131,130.45,1.716828471,124,30.37675,1.50135868,27.736
bccm.3,24,34,17,24,7,7,0.393,72,69.75,9.807522623,27,11.27895,0.710384718,10.125
bccm.30,30,63,32,20,8,8,1.869,117,115.05,8.49985294,78,28.53275,1.008724287,26.739
bccm.31,30,63,32,20,8,8,1.866,117,115.1,8.281907993,79,28.16515,1.430607887,24.546
bccm.32,30,63,32,20,8,8,1.871,117,117,0,117,28.83235,1.374983828,25.939
bccm.33,30,63,32,20,8,8,1.871,117,117,0,117,28.8436,1.63880717,25.638
bccm.34,30,63,32,20,8,8,1.869,117,117,0,117,28.05765,1.673951262,24.529
bccm.35,34,65,33,30,5,5,3.755,284,282.5,2.941088234,275,41.9359,2.224851993,38.415
bccm.36,34,65,33,30,5,5,3.753,284,283.55,1.24398553,279,42.16275,1.920040309,38.417
bccm.37,34,65,33,30,5,5,3.723,201,201,0,201,41.6967,2.465111399,36.341
bccm.38,34,65,33,30,5,5,3.722,201,201,0,201,41.98955,2.498193217,38.107
bccm.39,34,65,33,30,5,5,3.726,201,201,0,201,42.047,2.307580508,37.832
bccm.4,24,35,18,8,6,6,0.621,32,29.9,1.609347694,28,12.57045,0.468843628,11.582
bccm.40,34,65,33,30,5,5,3.719,201,201,0,201,41.5559,2.117848859,38
bccm.41,34,65,33,30,5,5,3.718,201,200.8,0.6,199,41.7795,2.081036268,38.601
bccm.42,34,65,33,30,5,5,3.739,201,201,0,201,36.98225,2.144205794,33.313
bccm.43,34,65,33,30,5,5,3.802,275,274.95,0.217944947,274,42.89715,2.502802495,37.71
bccm.44,34,65,33,30,5,5,3.82,275,274.4,1.529705854,269,42.4102,1.769066946,39.592
bccm.45,34,65,33,30,5,5,3.818,275,274.8,0.678232998,272,42.6115,2.195986646,38.751
bccm.46,34,65,33,30,5,5,3.821,275,274.65,1.152171862,270,43.3852,2.551013869,39.215
bccm.47,34,65,33,30,5,5,3.818,275,274.75,0.766485486,272,43.0408,2.328784095,38.619
bccm.48,40,66,33,20,6,6,2.744,127,126.8,0.871779789,123,31.9265,1.73518986,28.96
bccm.49,40,66,33,20,6,6,3.234,178,168.5,17.81712659,130,33.4274,1.932559272,29.829
bccm.5,24,35,18,8,6,6,0.623,32,30.4,1.529705854,28,12.5552,0.452301957,11.78
bccm.50,40,66,33,20,6,6,3.229,178,172.35,12.96639888,132,33.46945,1.588416113,30.131
bccm.51,40,66,33,20,6,6,3.225,178,177.15,2.308137778,168,33.3998,1.682613105,29.094
bccm.52,40,66,33,20,6,6,3.233,178,168.15,17.10051169,131,33.30355,1.832960842,30.042
bccm.53,40,66,33,20,6,6,3.228,178,175.1,9.310746479,135,33.6603,2.026012836,30.319
bccm.54,40,66,33,20,6,6,2.732,127,126.9,0.3,126,32.3678,1.769394038,27.91
bccm.55,40,66,33,20,6,6,2.795,127,126.95,0.217944947,126,33.4426,2.170293446,28.516
bccm.56,40,66,33,20,6,6,2.79,127,126.95,0.217944947,126,33.51685,1.433426569,30.425
bccm.57,40,66,33,20,6,6,2.788,127,126.8,0.4,126,33.2718,1.782497927,28.965
bccm.58,40,66,33,20,6,6,2.795,127,126.8,0.4,126,33.01545,1.71480837,28.253
bccm.59,41,69,35,28,7,7,4.249,177,176.4,1.428285686,173,45.2516,2.056327027,41.014
bccm.6,24,35,18,8,6,6,0.623,32,30.25,1.608570794,28,12.3787,0.578300104,11.331
bccm.60,41,69,35,28,7,7,4.253,177,175.95,1.829617446,172,45.12715,3.318273622,39.888
bccm.61,41,69,35,28,7,7,4.243,177,176.1,1.577973384,173,44.02125,2.225045547,38.127
bccm.62,41,69,35,28,7,7,4.236,177,176.55,1.203120942,173,46.21895,2.804444552,41.621
bccm.63,41,69,35,28,7,7,4.242,177,176.45,1.321930407,173,45.79855,2.343685271,41.071
bccm.64,41,69,35,28,7,7,5.208,169,169,0,169,44.15175,3.375316443,39.091
bccm.65,41,69,35,28,7,7,5.224,169,169,0,169,43.3325,2.058016654,40.087
bccm.66,41,69,35,28,7,7,4.506,184,180,4.527692569,169,42.86855,2.846255109,38.594
