Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
eglese.2,77,98,49,184,12,12,4.09,675,649.65,14.48542371,620,32.12575,1.484257992,29.489
eglese.3,77,98,49,184,12,12,4.07,675,656.85,9.414217971,641,32.33685,1.088185888,30.102
eglese.4,77,98,49,184,12,12,4.089,675,650.75,13.87758985,619,32.40155,0.952265062,30.148
eglese.5,77,98,49,184,12,12,3.402,677,659,6.715653356,655,36.01435,1.638382412,32.395
eglese.6,77,98,49,184,12,12,3.409,677,659.75,8.65375641,638,36.7279,2.299076117,34.088
eglese.7,77,98,49,184,12,12,3.938,677,656.15,4.693346354,645,40.96155,1.883921853,38.694
eglese.8,77,98,49,184,12,12,4.131,677,658,8.372574276,642,41.48885,2.353843352,36.826
eglese.9,77,98,49,184,12,12,3.531,677,662,8.191458967,655,41.4844,3.327190097,34.956
eglese.22,77,98,49,184,12,12,4.581,1178,1084.65,72.50880981,809,40.4623,1.968925598,36.426
eglese.23,77,98,49,184,12,12,4.532,1178,1088.05,109.6533059,699,41.37655,2.610390095,36.646
eglese.24,77,98,49,184,12,12,4.526,1178,1083.8,113.0126542,758,40.6372,2.574006597,36.598
eglese.25,77,98,49,184,12,12,4.537,1178,1086,92.90909536,699,40.01905,1.824983136,37.476
eglese.26,77,98,49,184,12,12,5.245,1155,951.35,182.1963982,671,37.88885,2.350026197,33.785
eglese.27,77,98,49,184,12,12,5.222,1155,1037.05,140.952288,651,37.9421,2.660277991,30.593
eglese.28,77,98,49,184,12,12,5.217,1155,991.45,176.938259,664,37.4056,1.879341012,34.503
eglese.29,77,98,49,184,12,12,4.9,1107,1018.5,151.7048121,705,39.23445,2.136999075,35.333
eglese.30,77,98,49,184,12,12,4.894,1107,1031.25,125.1726308,705,38.3562,1.720632169,35.43
eglese.31,77,98,49,184,12,12,4.876,1107,1026.2,137.8127715,697,37.3226,2.020232299,33.44
eglese.32,77,98,49,184,12,12,7.017,1107,1062.6,89.37919221,775,55.40055,2.795467447,50.874
eglese.33,77,98,49,184,12,12,5.584,692,665.35,20.17987859,625,54.58705,3.332578168,50.017
